cityLabel,population,gps
Grenora,244,Point(-103.936666666 48.618055555)
La Vecilla,245,Point(-5.405961111 42.848919444)
Q24013166,245,Point(-5.226166666 42.624075)
Imbler,245,Point(-117.963611111 45.460277777)
Scranton,245,Point(-93.540833333 35.360277777)
Lansford,245,Point(-101.376666666 48.6275)
Skidmore,245,Point(-95.0789 40.2886)
Clarksdale,245,Point(-94.5506 39.8128)
Frohna,245,Point(-89.6192 37.6406)
Dell City,245,Point(-105.2 31.9353)
Ross,245,Point(-97.1061 31.7267)
Kingsville,245,Point(-94.0689 38.7428)
Luxemburg,245,Point(-91.076666666 42.604722222)
Defiance,245,Point(-95.341944444 41.824722222)
Silver City,245,Point(-95.638055555 41.111944444)
Riverton,245,Point(-95.567777777 40.686111111)
Blaine,245,Point(-82.8553 38.0258)
Broeck Pointe,245,Point(-85.5867 38.2953)
Tanana,246,Point(-152.077777777 65.170833333)
Anderson,246,Point(-149.195352 64.345372)
Lancaster,246,Point(-95.3033 39.5717)
Keswick,246,Point(-92.238888888 41.453888888)
Fayetteville,246,Point(-96.675 29.905)
Macedonia,246,Point(-95.425 41.191944444)
Lake Lillian,246,Point(-94.88 44.94357)
Yale,246,Point(-94.355555555 41.775277777)
Halbur,246,Point(-94.971666666 42.006388888)
Rebecca,246,Point(-83.4878 31.8078)
Avera,246,Point(-82.5275 33.195)
Fildu de Jos,247,Point(23.057777777 46.919722222)
Paisley,247,Point(-120.545277777 42.693333333)
North Cleveland,247,Point(-95.091666666 30.354166666)
Wildwood,247,Point(-85.5742 38.2506)
Willow River,247,Point(-92.841388888 46.318333333)
Burdett,247,Point(-99.5264 38.1933)
Brookville,247,Point(-97.8681 38.7733)
Pemberton,247,Point(-93.783055555 44.007777777)
Dixon,247,Point(-90.782777777 41.741388888)
Hoople,247,Point(-97.636944444 48.535277777)
Salt Lick,247,Point(-83.6161 38.1194)
Q12388008,248,Point(-7.695278 42.324722)
Washta,248,Point(-95.718055555 42.575833333)
Craig,248,Point(-95.3736 40.1922)
Goodrich,248,Point(-94.9469 30.6072)
Leonard,248,Point(-97.245555555 46.651111111)
Princeton,248,Point(-95.2703 38.4883)
Partridge,248,Point(-98.0914 37.9672)
Rufus,249,Point(-120.738 45.6944)
Teller,249,Point(-166.354 65.2572)
Pisgah,249,Point(-95.926388888 41.832777777)
Old Monroe,249,Point(-90.7481 38.9319)
Schell City,249,Point(-94.1167 38.0192)
Blackburn,249,Point(-93.4847 39.1039)
Donnelly,249,Point(-116.077 44.7303)
Leland,249,Point(-93.6375 43.333611111)
Bronaugh,249,Point(-94.4672 37.6933)
Montour,249,Point(-92.7156 41.9806)
Quimby,249,Point(-95.642777777 42.629722222)
Martelle,249,Point(-91.358333333 42.020555555)
Deep River,249,Point(-92.374166666 41.580277777)
St. Francis,250,Point(-90.1433 36.4536)
Paisley,250,Point(-120.545277777 42.693333333)
Malta Bend,250,Point(-93.36194 39.19417)
Hayward,250,Point(-93.24409 43.65051)
Jacob City,250,Point(-85.4157104 30.8720945)
Deloit,250,Point(-95.319166666 42.097222222)
Berry,250,Point(-84.3844 38.5203)
Annapolis,250,Point(-90.69694 37.35972)
Carmine,250,Point(-96.6883 30.1492)
Low Moor,250,Point(-90.356111111 41.801388888)
Backus,250,Point(-94.516388888 46.820277777)
Crystal Lake,250,Point(-93.791944444 43.223611111)
Lewisville,250,Point(-94.4375 43.923333333)
Lenora,250,Point(-100.001 39.6111)
Denton,250,Point(-82.6964 31.7228)
Fargo,250,Point(-82.5669 30.6867)
Balșa,251,Point(23.099444444 46.028333333)
Shaktoolik,251,Point(-161.191305555 64.355611111)
Pisgah,251,Point(-95.926388888 41.832777777)
Martinsburg,251,Point(-91.64722 39.10111)
Callao,251,Point(-92.623333333 39.760833333)
Cumberland,251,Point(-94.871111111 41.273611111)
Hewitt,251,Point(-95.086666666 46.325555555)
Lake Wilson,251,Point(-95.952777777 43.996666666)
Glencoe,251,Point(-84.8219 38.7133)
Copeland,251,Point(-100.63 37.5403)
Lakeview Heights,251,Point(-83.5044 38.1522)
Hayward,252,Point(-93.24409 43.65051)
Ingalls,252,Point(-100.454 37.83)
Grafton,252,Point(-93.070277777 43.329444444)
Oconee,252,Point(-82.9544 32.8564)
Milroy,252,Point(-95.553333333 44.417777777)
Pitts,252,Point(-83.54 31.9453)
Pawnee Rock,252,Point(-98.9825 38.2653)
Dover,252,Point(-83.8825 38.7581)
Davenport,252,Point(-97.067777777 46.714166666)
Westfir,253,Point(-122.504722222 43.756666666)
Tower City,253,Point(-97.675 46.923333333)
Chidester,253,Point(-93.022222222 33.702777777)
Augusta,253,Point(-90.8819 38.5722)
Oliver,253,Point(-81.5325 32.5222)
Galt,253,Point(-93.3869 40.1272)
Westbrook,253,Point(-101.012 32.3569)
Willow River,253,Point(-92.841388888 46.318333333)
Crystal Lake,253,Point(-93.791944444 43.223611111)
Worley,253,Point(-116.919 47.3992)
Easton,253,Point(-95.1164 39.3444)
Dalton,253,Point(-95.915555555 46.173888888)
Vilardevós,254,Point(-7.313461111 41.907522222)
Arcadia,254,Point(-94.62333 37.64111)
Carson,254,Point(-101.566944444 46.420833333)
Ostrander,254,Point(-92.428055555 43.613611111)
Frohna,254,Point(-89.6192 37.6406)
Clarksburg,254,Point(-92.6675 38.66)
Spickard,254,Point(-93.593333333 40.242777777)
Clark,254,Point(-92.3436 39.2803)
Wixon Valley,254,Point(-96.3228 30.7617)
Lake Wilson,254,Point(-95.952777777 43.996666666)
Villard,254,Point(-95.269166666 45.715555555)
Wabbaseka,255,Point(-91.794166666 34.36)
Seldovia,255,Point(-151.7125 59.438888888)
Farber,255,Point(-91.5753 39.2747)
Lakota,255,Point(-94.094166666 43.378055555)
Mullinville,255,Point(-99.4764 37.5867)
Martelle,255,Point(-91.358333333 42.020555555)
Willow Lake,255,Point(-97.638055555 44.627777777)
Hornick,255,Point(-96.096666666 42.230833333)
Andersonville,255,Point(-84.1417 32.1969)
Bonnieville,255,Point(-85.9033 37.3747)
Bison,255,Point(-99.1975 38.5208)
Westfir,256,Point(-122.504722222 43.756666666)
Berger,256,Point(-91.3381 38.6747)
Greeley,256,Point(-91.341666666 42.585)
Meservey,256,Point(-93.476111111 42.913055555)
McFarland,256,Point(-96.23889 39.05306)
Davenport,256,Point(-97.067777777 46.714166666)
Zalha,257,Point(23.525441 47.191538)
Bisoca,257,Point(26.706427 45.542233)
Westfir,257,Point(-122.504722222 43.756666666)
Mallard,257,Point(-94.684166666 42.937222222)
Goldsmith,257,Point(-102.616 31.9825)
Waucoma,257,Point(-92.0325 43.056944444)
Progreso Lakes,257,Point(-97.9614 26.0733)
Worley,257,Point(-116.919 47.3992)
Prescott,257,Point(-94.6125 41.0225)
Kensett,257,Point(-93.208611111 43.353888888)
Wallins Creek,257,Point(-83.4144 36.8281)
Q12401736,257,Point(-6.997519444 42.422316666)
Vârvoru de Jos,258,Point(23.608611111 44.244722222)
Goodnews Bay,258,Point(-161.585835 59.121408)
Benjamin,258,Point(-99.7933 33.5833)
Scranton,258,Point(-103.144166666 46.147222222)
Ambler,258,Point(-157.86 67.085)
Breckenridge,258,Point(-93.804166666 39.761388888)
Bliss,258,Point(-114.949 42.9261)
Texhoma,258,Point(-101.785 36.4967)
Blackwell,258,Point(-100.32 32.0856)
Lueders,258,Point(-99.6236 32.8003)
Lu Verne,258,Point(-94.083611111 42.911666666)
Fayetteville,258,Point(-96.675 29.905)
Hope,258,Point(-97.720833333 47.322777777)
Bonesteel,258,Point(-98.946944444 43.076944444)
Kelliher,258,Point(-94.44829 47.94162)
Șiștarovăț,259,Point(21.743207 46.010478)
Westfir,259,Point(-122.504722222 43.756666666)
Grinnell,259,Point(-100.63 39.1239)
Irwin,259,Point(-111.268 43.3883)
Clifton,259,Point(-112.006 42.1875)
Milroy,259,Point(-95.553333333 44.417777777)
Severy,259,Point(-96.2275 37.6225)
Hanston,259,Point(-99.7125 38.1231)
Maharishi Vedic City,259,Point(-91.993977777 41.050730555)
Grinnell,260,Point(-100.63 39.1239)
Fairview,260,Point(-95.7275 39.84)
Pulaski,260,Point(-92.272777777 40.696388888)
Bovill,260,Point(-116.394 46.8592)
Carlton,260,Point(-83.035 34.0422)
La Motte,260,Point(-90.620555555 42.295)
Elk City,260,Point(-95.9103 37.2903)
Ransom,260,Point(-99.9325 38.6353)
Cervatos de la Cueza,261,Point(-4.766666666 42.283055555)
Ignești,261,Point(22.16666667 46.4)
Brestovăț,261,Point(21.682006 45.873418)
Billinudel,261,Point(153.5177778 -28.498333333)
Covington,261,Point(-97.2572 32.1769)
Wildwood,261,Point(-85.5742 38.2506)
Hunter,261,Point(-97.2167 47.1903)
Shungnak,262,Point(-157.137 66.8858)
Harpers Ferry,262,Point(-91.150833333 43.201666666)
Wadena,262,Point(-91.656388888 42.840555555)
Prairie Home,262,Point(-92.5897 38.8131)
Cumberland,262,Point(-94.871111111 41.273611111)
Brookville,262,Point(-97.8681 38.7733)
Kelliher,262,Point(-94.44829 47.94162)
Rockport,262,Point(-86.9928 37.3364)
Walcott,262,Point(-96.938611111 46.547777777)
Ciurila,263,Point(23.533333333 46.65)
Lexington,263,Point(-119.688055555 45.445277777)
Lostine,263,Point(-117.43 45.488888888)
Mercer,263,Point(-93.52944 40.51167)
St. Thomas,263,Point(-92.2183 38.3711)
Gilmore,263,Point(-90.2775 35.411111111)
Marquez,263,Point(-96.25528 31.24)
Scottsville,263,Point(-94.2417 32.5361)
Kinloch,263,Point(-90.323055555 38.740277777)
North Cleveland,263,Point(-95.091666666 30.354166666)
Sadieville,263,Point(-84.5356 38.3917)
Backus,263,Point(-94.516388888 46.820277777)
Wilton,263,Point(-94.996111111 47.506111111)
Graham,263,Point(-82.5036 31.8331)
Carlton,263,Point(-83.035 34.0422)
Willow Lake,263,Point(-97.638055555 44.627777777)
Gonvick,263,Point(-95.513611111 47.7375)
Abercrombie,263,Point(-96.729444444 46.447222222)
Michigan City,263,Point(-98.121944444 48.024444444)
Hopârta,264,Point(23.87055556 46.32083333)
Industry,264,Point(-117.950833333 34.015833333)
Nulato,264,Point(-158.102777777 64.719444444)
Ackerly,264,Point(-101.714166666 32.525555555)
Deloit,264,Point(-95.319166666 42.097222222)
Arlington,264,Point(-89.01139 36.79111)
Berry,264,Point(-84.3844 38.5203)
Crawfordsville,264,Point(-91.537777777 41.215277777)
Rowley,264,Point(-91.845 42.368333333)
Pulaski,264,Point(-92.272777777 40.696388888)
Delta,264,Point(-92.329444444 41.324166666)
Gumbranch,264,Point(-81.6844 31.8389)
Gumbranch,264,Point(-81.72678 31.85826)
Steamboat Rock,264,Point(-93.066388888 42.4075)
Freeborn,264,Point(-93.56411 43.76579)
Prescott,264,Point(-94.6964 38.0631)
Ewing,264,Point(-83.865 38.4281)
Harcourt,264,Point(-94.176666666 42.261944444)
Woodville,264,Point(-83.1078 33.6781)
Warfield,264,Point(-82.4208 37.8428)
Medina,264,Point(-99.298055555 46.894722222)
Old Monroe,265,Point(-90.7481 38.9319)
Worland,265,Point(-107.956630555 44.015386111)
Neosho Rapids,265,Point(-95.9919 38.3686)
Barstow,265,Point(-103.396 31.4625)
Browning,265,Point(-93.1606 40.035)
Auburn,265,Point(-94.877222222 42.250833333)
Tescott,265,Point(-97.8781 39.0119)
Maurice,265,Point(-96.180833333 42.966111111)
Everest,265,Point(-95.4253 39.6767)
Bretea Română,266,Point(23.016922 45.659166)
Cozieni,266,Point(26.49063 45.330967)
Dedham,266,Point(-94.822777777 41.908611111)
Utica,266,Point(-91.95488 43.97552)
Alta Vista,266,Point(-92.415833333 43.199166666)
Kensington,266,Point(-95.696111111 45.778055555)
Hewitt,266,Point(-95.086666666 46.325555555)
Kensett,266,Point(-93.208611111 43.353888888)
Corwith,266,Point(-93.955833333 42.993333333)
Iroquois,266,Point(-97.85 44.366388888)
Meansville,266,Point(-84.30944 33.05)
Rockport,266,Point(-86.9928 37.3364)
Frías,267,Point(-3.294166666 42.761388888)
Husnicioara,267,Point(22.84593 44.678546)
Whitehall,267,Point(-91.316388888 44.366666666)
Geneseo,267,Point(-98.1558 38.5169)
Kidder,267,Point(-94.1025 39.7819)
Staples,267,Point(-97.8278574 29.7663458)
Missouri City,267,Point(-94.30111 39.23806)
Albion,267,Point(-113.58083 42.41083)
Lakota,267,Point(-94.094166666 43.378055555)
Macedonia,267,Point(-95.425 41.191944444)
Centerview,267,Point(-93.8456 38.7458)
Yale,267,Point(-94.355555555 41.775277777)
Kiron,267,Point(-95.326944444 42.196111111)
Orr,267,Point(-92.831111111 48.053611111)
Chelsea,267,Point(-92.394722222 41.919166666)
Climax,267,Point(-96.816944444 47.607777777)
Agra,267,Point(-99.11944 39.76056)
Rufus,268,Point(-120.738 45.6944)
Tower City,268,Point(-97.675 46.923333333)
Industry,268,Point(-96.5 29.9667)
Forest City,268,Point(-95.1908 39.9831)
Lockridge,268,Point(-91.751666666 40.995)
Hamilton,268,Point(-96.1625 37.9811)
Arnis,268,Point(9.931388888 54.63)
Luana,269,Point(-91.453333333 43.060833333)
Tracy,269,Point(-94.7928 39.3775)
Holland,269,Point(-92.799444444 42.399722222)
Covington,269,Point(-97.2572 32.1769)
Kingsville,269,Point(-94.0689 38.7428)
Tetonia,269,Point(-111.16 43.8139)
Protivin,269,Point(-92.092777777 43.215555555)
Bertram,269,Point(-91.5344 41.95)
Midville,269,Point(-82.23639 32.82111)
Bonnieville,269,Point(-85.9033 37.3747)
Denton,269,Point(-82.6964 31.7228)
Warfield,269,Point(-82.4208 37.8428)
Roscoe,269,Point(-99.336666666 45.450277777)
Lütz,270,Point(7.360555555 50.161388888)
Lütz,270,Point(7.35 50.16667)
Nehalem,270,Point(-123.895555555 45.715833333)
Walker,270,Point(-94.2297 37.8989)
Malcom,270,Point(-92.559166666 41.708333333)
Augusta,270,Point(-90.8819 38.5722)
Moran,270,Point(-99.1664 32.5458)
Rowley,270,Point(-91.845 42.368333333)
Bradfordsville,270,Point(-85.1483 37.4953)
Chandler,270,Point(-95.947222222 43.929166666)
Buckman,270,Point(-94.093611111 45.8975)
Ngerulmud,271,Point(134.624167 7.500556)
Nehalem,271,Point(-123.895555555 45.715833333)
Clarksdale,271,Point(-94.5506 39.8128)
Goodrich,271,Point(-94.9469 30.6072)
Mindenmines,271,Point(-94.58889 37.47528)
Wheeling,271,Point(-93.3853 39.7867)
Fenton,271,Point(-94.426388888 43.216388888)
Rhodes,271,Point(-93.185 41.926666666)
Farmersburg,271,Point(-91.367555555 42.958516666)
Gladstone,271,Point(-102.565555555 46.859722222)
Marble Rock,271,Point(-92.867777777 42.964722222)
Búðardalur,272,Point(-21.7678836 65.1081658)
Dobrin,272,Point(23.13194 47.295353)
Shungnak,272,Point(-157.137 66.8858)
Whittier,272,Point(-148.678 60.7742)
Perrytown,272,Point(-93.5353 33.6986)
Hickory Ridge,272,Point(-90.995 35.4008)
Kennard,272,Point(-95.1853 31.3558)
Lehigh,272,Point(-96.218611111 34.47)
Moscow,272,Point(-101.206 37.3239)
Hope,272,Point(-97.720833333 47.322777777)
Stockport,272,Point(-91.833333333 40.856944444)
St. Marks,272,Point(-84.207222222 30.159166666)
Hollister,272,Point(-114.581 42.3522)
Goose Creek,272,Point(-85.5908 38.2942)
Uniontown,272,Point(-94.9758 37.8472)
McFarland,272,Point(-96.23889 39.05306)
Broeck Pointe,272,Point(-85.5867 38.2953)
Dwight,272,Point(-96.595 38.8447)
Perișani,273,Point(24.40913 45.375851)
Modale,273,Point(-96.011111111 41.62)
Everton,273,Point(-93.7025 37.3436)
Brashear,273,Point(-92.3775 40.1478)
Morgan's Point,273,Point(-94.999444444 29.676388888)
Greeley,273,Point(-95.1264 38.3675)
Nerstrand,273,Point(-93.068055555 44.341944444)
St. Hilaire,273,Point(-96.214166666 48.013055555)
St. Charles,273,Point(-87.5553 37.1842)
Blakesburg,274,Point(-92.636111111 40.962777777)
Libertyville,274,Point(-92.049166666 40.957777777)
Mallard,274,Point(-94.684166666 42.937222222)
Ambler,274,Point(-157.86 67.085)
Omer,274,Point(-83.854444444 44.0475)
St. Marks,274,Point(-84.207222222 30.159166666)
Buckner,275,Point(-93.436666666 33.358055555)
Huslia,275,Point(-156.391666666 65.7)
Greencastle,275,Point(-92.8784432 40.2606874)
Hedley,275,Point(-100.66 34.8672)
Bonesteel,275,Point(-98.946944444 43.076944444)
Drake,275,Point(-100.371388888 47.923888888)
Ridgeway,275,Point(-91.989166666 43.297777777)
Maurice,275,Point(-96.180833333 42.966111111)
Blue Mound,275,Point(-95.0083 38.0903)
Hoyocasero,276,Point(-4.975833333 40.398888888)
Berlești,276,Point(23.66666667 44.91666667)
Westfir,276,Point(-122.504722222 43.756666666)
Atqasuk,276,Point(-157.418055555 70.477777777)
Maitland,276,Point(-95.07528 40.20111)
Finger,276,Point(-88.608888888 35.356666666)
Plummer,276,Point(-96.041666666 47.911388888)
Vesta,276,Point(-95.416388888 44.507777777)
Doriskos,276,Point(26.11805556 40.86694444)
Climax,276,Point(-84.4319 30.8772)
Averești,277,Point(27.989697 46.786665)
Parkdale,277,Point(-91.5475 33.121666666)
Wheatland,277,Point(-93.4031 37.9433)
Howardville,277,Point(-89.5989 36.5675)
Lake Lafayette,277,Point(-93.9697 38.9489)
Cranfills Gap,277,Point(-97.8283 31.7736)
Crawfordsville,277,Point(-91.537777777 41.215277777)
Reynolds,277,Point(-97.106666666 47.671666666)
Grainfield,277,Point(-100.467 39.1142)
Parker,277,Point(-94.9908 38.3289)
Princeton,277,Point(-95.2703 38.4883)
Palco,277,Point(-99.5625 39.2528)
Maharishi Vedic City,277,Point(-91.993977777 41.050730555)
Lakeview Heights,277,Point(-83.5044 38.1522)
St. Charles,277,Point(-87.5553 37.1842)
Bustillo de la Vega,278,Point(-4.74115 42.45605)
Bustillo de la Vega,278,Point(-4.740555555 42.455833333)
Florești,278,Point(22.95 44.77)
Măgești,278,Point(22.45 47.0167)
Runcu,278,Point(24.45 45.166666666)
Lower Kalskag,278,Point(-160.35905 61.513735)
Linneus,278,Point(-93.1878 39.8781)
Clearfield,278,Point(-94.476388888 40.8)
Henrietta,278,Point(-93.9361 39.2361)
Taylor Landing,278,Point(-94.131111111 29.862222222)
Egan,278,Point(-96.649444444 43.998888888)
Spangle,278,Point(-117.377 47.4306)
Murdock,278,Point(-95.39333333 45.22388889)
Echo,278,Point(-95.4175 44.61694444)
Dexter,278,Point(-96.7161 37.1794)
Dealu Lăunele,279,Point(24.46067 44.920173)
Delight,279,Point(-93.5033 34.0308)
Wheatley,279,Point(-91.108611111 34.914722222)
Bowlus,279,Point(-94.409444444 45.819444444)
Eitzen,279,Point(-91.461666666 43.508055555)
Fenton,279,Point(-94.426388888 43.216388888)
Water Valley,279,Point(-88.8108 36.5667)
Chandler,279,Point(-95.947222222 43.929166666)
Kiron,279,Point(-95.326944444 42.196111111)
Bushton,279,Point(-98.395 38.5119)
Deep River,279,Point(-92.374166666 41.580277777)
St. Hilaire,279,Point(-96.214166666 48.013055555)
Sylvan Grove,279,Point(-98.3925 39.0128)
Nightmute,280,Point(-164.826 60.4914)
Prairie Home,280,Point(-92.5897 38.8131)
Tallmadge,280,Point(-81.4242 41.0969)
Oconee,280,Point(-82.9544 32.8564)
Spangle,280,Point(-117.377 47.4306)
Cash,280,Point(-90.9333 35.7983)
Beaver Creek,280,Point(-96.364444444 43.614166666)
Powers Lake,280,Point(-102.646111111 48.561944444)
Climax,280,Point(-84.4319 30.8772)
Q12388008,281,Point(-7.695278 42.324722)
Bobadilla del Campo,281,Point(-5.02294 41.20432)
Bobadilla del Campo,281,Point(-5.021388888 41.204444444)
Kennebec,281,Point(-99.862777777 43.904166666)
Șerbănești,281,Point(27.300871 46.164756)
Gackle,281,Point(-99.143333333 46.627222222)
Linneus,281,Point(-93.1878 39.8781)
Jacob City,281,Point(-85.4157104 30.8720945)
Scranton,281,Point(-103.144166666 46.147222222)
Cranfills Gap,281,Point(-97.8283 31.7736)
Channing,281,Point(-102.331944444 35.683611111)
Sheridan,281,Point(-106.958888888 44.796666666)
Wildwood,281,Point(-85.5742 38.2506)
Coulter,281,Point(-93.369166666 42.734444444)
Toronto,281,Point(-95.9494 37.7986)
Izvoru,282,Point(26.603696 45.199975)
Pădina Mare,282,Point(23.013449 44.442082)
Lower Kalskag,282,Point(-160.35905 61.513735)
Holland,282,Point(-92.799444444 42.399722222)
Blue Springs,282,Point(-96.662777777 40.137777777)
Covington,282,Point(-97.2572 32.1769)
Mount Calm,282,Point(-96.8819 31.7578)
Arnegard,282,Point(-103.438611111 47.808055555)
Willisburg,282,Point(-85.1219 37.81)
Gonvick,282,Point(-95.513611111 47.7375)
Keystone,282,Point(-81.446111111 37.415)
Bazine,282,Point(-99.6925 38.4461)
Otis,282,Point(-99.0522 38.535)
Casaio,282,Point(-6.805880555 42.339894444)
Kaktovik,283,Point(-143.613888888 70.126388888)
Modale,283,Point(-96.011111111 41.62)
Hume,283,Point(-94.5844 38.0906)
Cainsville,283,Point(-93.7728 40.4389)
Ross,283,Point(-97.1061 31.7267)
Weston,283,Point(-96.6422 33.3258)
Granjeno,283,Point(-98.3036 26.1383)
Protivin,283,Point(-92.092777777 43.215555555)
Ladora,283,Point(-92.183888888 41.755)
White Plains,283,Point(-83.0383 33.4769)
Opan,284,Point(25.687551 42.210641)
Schitu,284,Point(24.5667 44.35)
Imbler,284,Point(-117.963611111 45.460277777)
Humnoke,284,Point(-91.76 34.5422)
Humnoke,284,Point(-91.758888888 34.542222222)
Fruithurst,284,Point(-85.431759 33.731103)
Skidmore,284,Point(-95.0789 40.2886)
Armstrong,284,Point(-92.7008 39.2689)
Dietrich,284,Point(-114.265 42.9119)
Medicine Lake,284,Point(-93.421388888 45.001944444)
Defiance,284,Point(-95.341944444 41.824722222)
Willow River,284,Point(-92.841388888 46.318333333)
Everest,284,Point(-95.4253 39.6767)
White Plains,284,Point(-83.0383 33.4769)
Parkers Crossroads,284,Point(-88.389444444 35.781666666)
Milligan,285,Point(-97.38833 40.49889)
Șopotu Nou,285,Point(21.861204 44.817876)
San Mamés de Burgos,285,Point(-3.79397 42.33685)
Gogoșu,285,Point(23.366666666 44.416666666)
Carthage,285,Point(-89.535 32.7414)
Courtland,285,Point(-97.8969 39.7828)
Westside,285,Point(-95.1003 42.0753)
Rotărăști,286,Point(24.4414 44.995818)
Lexa,286,Point(-90.7506 34.5975)
Dickens,286,Point(-100.835 33.6214)
Jamestown,286,Point(-97.8617 39.6)
Cashion Community,286,Point(-98.5 34.035555555)
Risco,286,Point(-89.82 36.5517)
Island Park,286,Point(-111.339 44.4997)
Yorkville,286,Point(-89.118888888 36.098611111)
Knobel,287,Point(-90.6017 36.3194)
Valea Salciei,287,Point(26.826007 45.497034)
Malcom,287,Point(-92.559166666 41.708333333)
Chidester,287,Point(-93.022222222 33.702777777)
Lake Angelus,287,Point(-83.314166666 42.700833333)
Spring Mill,287,Point(-85.6325 38.1442)
Wilton,287,Point(-94.147777777 33.738888888)
Emery,288,Point(-111.249444444 38.922222222)
Oncești,288,Point(27.260606 46.477302)
Halfway,288,Point(-117.110555555 44.878333333)
Delight,288,Point(-93.5033 34.0308)
Blevins,288,Point(-93.5767 33.8711)
Midway,288,Point(-95.751111111 31.023055555)
Low Moor,288,Point(-90.356111111 41.801388888)
Quenemo,288,Point(-95.527777777 38.580277777)
Skyline,288,Point(-94.030833333 44.142222222)
Bristol,288,Point(-97.750833333 45.345277777)
Longton,288,Point(-96.0828 37.3775)
Kendrick,288,Point(-116.65 46.6144)
Cyrus,288,Point(-95.738055555 45.614722222)
Cedar Valley,288,Point(-97.563055555 35.860277777)
Rivergrove,289,Point(-122.733888888 45.385277777)
Hendrum,289,Point(-96.81147 47.26442)
Bailey,289,Point(-96.1653 33.4342)
Bellevue,289,Point(-98.0156 33.6353)
Leland,289,Point(-93.6375 43.333611111)
Skyline,289,Point(-94.030833333 44.142222222)
West Okoboji,289,Point(-95.158888888 43.35)
Coupland,289,Point(-97.3886 30.46)
Larouco,289,Point(-7.162338888 42.346238888)
Bowlus,290,Point(-94.409444444 45.819444444)
Lake Angelus,290,Point(-83.314166666 42.700833333)
Kingston,290,Point(-94.0383 39.6431)
Cincinnati,290,Point(-92.923611111 40.630277777)
Grafton,290,Point(-93.070277777 43.329444444)
Kensington,290,Point(-95.696111111 45.778055555)
Hazlehurst,290,Point(-82.599444444 31.866111111)
Belview,291,Point(-95.329444444 44.605277777)
Northmoor,291,Point(-94.6044 39.1844)
Kimballton,291,Point(-95.074444444 41.628333333)
New Hampton,291,Point(-94.1947 40.2636)
Chilhowee,291,Point(-93.8561 38.5886)
Utica,291,Point(-91.95488 43.97552)
Granada,291,Point(-94.347777777 43.695555555)
Graham,291,Point(-82.5036 31.8331)
McCausland,291,Point(-90.4425 41.744722222)
Liscomb,291,Point(-93.005555555 42.190555555)
Ionia,291,Point(-92.456666666 43.034444444)
Sylvan Grove,291,Point(-98.3925 39.0128)
Brewster,291,Point(-101.377 39.3628)
Enériz/Eneritz,292,Point(-1.72794 42.67095)
Grecești,292,Point(23.28333333 44.45)
Callao,292,Point(-92.623333333 39.760833333)
Harlem,292,Point(-82.3139 33.4169)
Drake,292,Point(-100.371388888 47.923888888)
Plummer,292,Point(-96.041666666 47.911388888)
Kensington,292,Point(-95.696111111 45.778055555)
Rippey,292,Point(-94.201111111 41.933888888)
Iroquois,292,Point(-97.85 44.366388888)
Schitu,293,Point(25.85 44.13333333)
Mitchellville,293,Point(-91.498333333 33.905277777)
Colt,293,Point(-90.811388888 35.130833333)
Carson,293,Point(-101.566944444 46.420833333)
Granjeno,293,Point(-98.3036 26.1383)
St. Marks,293,Point(-84.207222222 30.159166666)
Uniontown,293,Point(-94.9758 37.8472)
Bănești,294,Point(25.57447 44.735193)
East Lynne,294,Point(-94.2297 38.6675)
Hackensack,294,Point(-94.520555555 46.930833333)
Bertram,294,Point(-91.5344 41.95)
Willow River,294,Point(-92.841388888 46.318333333)
Bradfordsville,294,Point(-85.1483 37.4953)
Bronson,294,Point(-96.211666666 42.409444444)
Courtland,294,Point(-97.8969 39.7828)
Spring Mill,294,Point(-85.6325 38.1442)
Michigan City,294,Point(-98.121944444 48.024444444)
Lester,294,Point(-96.333333333 43.4375)
Goose Creek,294,Point(-85.5908 38.2942)
Ransom,294,Point(-99.9325 38.6353)
Bunker,295,Point(-91.2103 37.4553)
Rockland,295,Point(-112.876 42.5733)
Salix,295,Point(-96.287222222 42.307777777)
Dakota,295,Point(-91.36 43.913611111)
Nerstrand,295,Point(-93.068055555 44.341944444)
Finlayson,295,Point(-92.916111111 46.201666666)
Madison,295,Point(-81.818333333 38.061944444)
Dănciulești,296,Point(23.75 44.73333333)
Eek,296,Point(-162.025928 60.218662)
Blakesburg,296,Point(-92.636111111 40.962777777)
Branch,296,Point(-93.955555555 35.308611111)
Stockport,296,Point(-91.833333333 40.856944444)
Atalissa,296,Point(-91.166666666 41.571666666)
Cuyuna,296,Point(-93.923055555 46.516944444)
Lester,296,Point(-96.333333333 43.4375)
Colome,296,Point(-99.716111111 43.26)
Otis,296,Point(-99.0522 38.535)
Burton,297,Point(-96.596178 30.181668)
Persia,297,Point(-95.5706 41.5789)
Sheldahl,297,Point(-93.696388888 41.864166666)
Freeborn,297,Point(-93.56411 43.76579)
Waverly,297,Point(-87.8153 37.7097)
Beaver Creek,297,Point(-96.364444444 43.614166666)
Climax,297,Point(-84.4319 30.8772)
Goesdorf,298,Point(5.96833 49.92167)
Dâmbovicioara,298,Point(25.233371 45.437753)
Mallard,298,Point(-94.684166666 42.937222222)
Lancaster,298,Point(-95.3033 39.5717)
Huxley,298,Point(-93.8875 31.7617)
Kinloch,298,Point(-90.323055555 38.740277777)
Clark,298,Point(-92.3436 39.2803)
