cityLabel,population,gps
Loraine,9,Point(-101.569444444 48.867222222)
Churchs Ferry,9,Point(-99.196388888 48.268888888)
Makronisos,9,Point(24.12 37.7)
A Porta do Prado,10,Point(-7.980772222 42.344405555)
Alén,10,Point(-7.971127777 42.346991666)
Parada,10,Point(-7.909361111 42.468780555)
O Figueiredo,10,Point(-7.894394444 42.459094444)
Xagrade,10,Point(-7.862991666 42.476947222)
Marcelle,10,Point(-7.8606 42.494172222)
Q110282083,10,Point(-7.284271071 41.990803267)
Q31283161,10,Point(-7.851467 42.562958)
Q12394784,10,Point(-7.896594444 42.431977777)
Q12395836,10,Point(-7.086352777 42.457841666)
Q12386028,10,Point(-7.015466666 42.404041666)
Q12384976,10,Point(-7.701667 42.328333)
Q12382102,10,Point(-7.675833333 42.335833333)
Q12388343,10,Point(-7.682222 42.317778)
Q12380320,10,Point(-7.673889 42.343611)
Q8197710,10,Point(-7.976111111 42.141666666)
Wales,10,Point(-98.601666666 48.894166666)
Kinbrae,10,Point(-95.487222222 43.825833333)
Hollenberg,10,Point(-96.9911 39.9811)
Bergen,10,Point(-100.716666666 48.002777777)
Overly,10,Point(-100.151111111 48.681111111)
Lake Buena Vista,10,Point(-81.521666666 28.3775)
Clayton,10,Point(-114.4 44.2589)
Loma,10,Point(-98.525277777 48.637777777)
Venturia,10,Point(-99.549722222 45.997222222)
Q113515039,11,Point(-7.062480555 42.251797222)
O Pereiro,11,Point(-7.855363888 42.489069444)
Os Pardiñeiros,11,Point(-7.870094444 42.466447222)
Q20548133,11,Point(-7.323444444 42.043805555)
Q8124246,11,Point(-7.69611111 42.33888889)
Ayr,11,Point(-97.491944444 47.041944444)
Cedar,11,Point(-98.9403 39.6567)
Hamberg,11,Point(-99.5139 47.7614)
Sabetha,11,Point(-95.7994 39.9031)
Bergen,11,Point(-100.716666666 48.002777777)
Waldron,11,Point(-98.1831 37.0039)
Le Roy,11,Point(-93.593055555 40.8775)
Motley,11,Point(-94.64612 46.33663)
O Burgo,12,Point(-7.939811111 42.364022222)
Costoira,12,Point(-7.856747222 42.375405555)
Q113772706,12,Point(-7.004236111 42.43235)
Rozadas,12,Point(-7.915519444 42.465061111)
Q110284157,12,Point(-7.335055703 41.985556641)
Q61379006,12,Point(-7.865716666 42.430188888)
Q20548966,12,Point(-6.958872222 42.412036111)
Q12401897,12,Point(-6.871938888 42.428683333)
Chao das Donas,12,Point(-7.090086111 42.290025)
Q12383465,12,Point(-7.737222 42.307778)
Q12384237,12,Point(-6.885338888 42.373716666)
Larson,12,Point(-102.860555555 48.889444444)
Kinbrae,12,Point(-95.487222222 43.825833333)
Freeport,12,Point(-97.8564 37.1972)
Weeki Wachee,12,Point(-82.578611111 28.515555555)
Hansboro,12,Point(-99.381111111 48.952222222)
Pillsbury,12,Point(-97.794444444 47.206111111)
Churchs Ferry,12,Point(-99.196388888 48.268888888)
Bettles,12,Point(-151.523 66.9133)
Labandeira de Riba,13,Point(-8.381666666 43.066111111)
O Reguengo,13,Point(-7.897808333 42.457502777)
A Pitanza,13,Point(-7.902655555 42.440061111)
Q61379539,13,Point(-7.808314 42.551)
Fechas,13,Point(-7.929167 42.183889)
Q12381901,13,Point(-7.123669444 42.245730555)
Drummond,13,Point(-111.344 43.9992)
Kief,13,Point(-100.512222222 47.858888888)
Pazos,14,Point(-7.929627777 42.371125)
Arrabaldo,14,Point(-7.989969444 42.347316666)
Q65061553,14,Point(-7.908922222 42.418775)
Q110282118,14,Point(-7.296987957 41.992364929)
"A Canda, A Vilavella, A Mezquita",14,Point(-6.98034047 42.03490549)
Fervenza,14,Point(-7.028052777 42.394558333)
Q12399956,14,Point(-7.012797222 42.389733333)
Q12399915,14,Point(-7.228125 41.940275)
Q12385705,14,Point(-6.978658333 42.392380555)
Q12383465,14,Point(-7.737222 42.307778)
Q12381011,14,Point(-7.721389 42.312778)
Q12380622,14,Point(-7.611486111 42.192955555)
Lehr,14,Point(-99.352222222 46.282777777)
Cedar,14,Point(-98.9403 39.6567)
Bassett,14,Point(-95.4081 37.9039)
Bantry,14,Point(-100.609722222 48.497777777)
Os Beleiros,15,Point(-8.000375 42.350552777)
As Quintás,15,Point(-7.877058333 42.442333333)
Calvin,15,Point(-98.9375 48.851111111)
Hannah,15,Point(-98.690555555 48.973055555)
Lawton,15,Point(-98.364722222 48.303055555)
Beaconsfield,15,Point(-94.050555555 40.808055555)
Ludden,15,Point(-98.126666666 46.009166666)
Conway,15,Point(-97.674722222 48.233888888)
Le Roy,15,Point(-93.593055555 40.8775)
Hansboro,15,Point(-99.381111111 48.952222222)
Haynes,15,Point(-102.471944444 45.973611111)
Q114736729,16,Point(-7.890736111 42.350108333)
Q12386004,16,Point(-7.073286111 42.441138888)
A Fraira,16,Point(-7.333225 41.924391666)
Q12380348,16,Point(-7.141488888 42.360952777)
Q12380320,16,Point(-7.673889 42.343611)
Gascoyne,16,Point(-103.081111111 46.118333333)
Sarles,16,Point(-98.996944444 48.945277777)
Barry,16,Point(-96.559166666 45.558055555)
Drummond,16,Point(-111.344 43.9992)
Lake Buena Vista,16,Point(-81.521666666 28.3775)
Weeki Wachee,16,Point(-82.578611111 28.515555555)
Leith,16,Point(-101.636111111 46.358888888)
Ronneby,16,Point(-93.866666666 45.683333333)
Loma,16,Point(-98.525277777 48.637777777)
Martimporra,16,Point(-5.565827777 43.337983333)
Vilariño,17,Point(-7.932588888 42.374572222)
A Penela,17,Point(-7.864063888 42.484930555)
O Val,17,Point(-7.871413888 42.468386111)
O Cepedo,17,Point(-7.870836111 42.469055555)
Q61379342,17,Point(-7.822769 42.553381)
Q61378996,17,Point(-7.876586111 42.433775)
A Portela de Portomourisco,17,Point(-7.134011111 42.344502777)
Q20543270,17,Point(-6.838966666 42.386855555)
Q12399757,17,Point(-7.081041666 42.295311111)
Q12397147,17,Point(-6.8334 42.455744444)
Ayr,17,Point(-97.491944444 47.041944444)
Penalosa,17,Point(-98.32 37.7158)
Conway,17,Point(-94.619444444 40.748611111)
York,17,Point(-99.574166666 48.312222222)
Tenencia de Zaín,18,Point(-7.842061111 42.308244444)
Casagrande,18,Point(-7.917538888 42.355547222)
Gosende,18,Point(-7.882283333 42.461816666)
A Tolda,18,Point(-7.870469444 42.431819444)
Q45921786,18,Point(-7.805833333 42.533333333)
Q20546300,18,Point(-6.948197222 42.409983333)
Q12401972,18,Point(-7.853286 42.571703)
Q12387179,18,Point(-7.329780555 41.900511111)
Q12385882,18,Point(-7.113613888 42.256602777)
Q12380122,18,Point(-7.744167 42.323056)
Penalosa,18,Point(-98.32 37.7158)
Braddock,18,Point(-100.089166666 46.565555555)
Overly,18,Point(-100.151111111 48.681111111)
Funkley,18,Point(-94.431388888 47.783611111)
Bucyrus,18,Point(-102.788888888 46.064444444)
Q113514684,19,Point(-6.834666666 42.480216666)
Q97951848,19,Point(-8.338083333 42.911666666)
Outarelo,19,Point(-6.984119444 42.433441666)
Q12396077,19,Point(-6.844761111 42.385769444)
Yetter,19,Point(-94.843888888 42.316388888)
Ellston,19,Point(-94.108611111 40.840277777)
Concord,19,Point(-83.4908 38.6872)
Sibley,19,Point(-97.965277777 47.214722222)
Los Ybanez,19,Point(-101.919 32.7181)
A Estación,20,Point(-7.994947222 42.351947222)
Q20549544,20,Point(-7.096963888 42.147736111)
Q12401646,20,Point(-7.106694444 42.288541666)
Q12400667,20,Point(-6.984547222 42.388583333)
Q12396803,20,Point(-7.369808333 41.936444444)
Q12388788,20,Point(-6.982155555 42.442002777)
Calvin,20,Point(-98.9375 48.851111111)
Cathay,20,Point(-99.411388888 47.553888888)
Donaldson,20,Point(-96.896388888 48.572222222)
Amidon,20,Point(-103.322222222 46.483055555)
Bassett,20,Point(-95.4081 37.9039)
Latimer,20,Point(-96.8461 38.7378)
Balfour,20,Point(-100.533611111 47.951111111)
Mylo,20,Point(-99.618333333 48.635833333)
Durango,20,Point(-90.775833333 42.56)
Leal,20,Point(-98.316388888 47.105555555)
Fechos,21,Point(-7.978811111 42.355619444)
Saceda,21,Point(-7.954991666 42.356761111)
Fondo de Vila,21,Point(-7.904513888 42.453955555)
O Barrio,21,Point(-7.891530555 42.456172222)
Gascoyne,21,Point(-103.081111111 46.118333333)
Braddock,21,Point(-100.089166666 46.565555555)
Hamberg,21,Point(-99.5139 47.7614)
Freeport,21,Point(-97.8564 37.1972)
Hollenberg,21,Point(-96.9911 39.9811)
Mylo,21,Point(-99.618333333 48.635833333)
Venturia,21,Point(-99.549722222 45.997222222)
Kupreanof,21,Point(-132.9825 56.8225)
Lonerock,21,Point(-119.884166666 45.089444444)
O Outeiro,22,Point(-8.381111111 43.073888888)
O Souto do Río,22,Point(-7.973541666 42.348744444)
Toldavia,22,Point(-7.846277777 42.492802777)
Q20544378,22,Point(-7.013183333 42.406030555)
Q12381232,22,Point(-7.691944 42.319444)
Fortuna,22,Point(-103.774166666 48.911111111)
Antler,22,Point(-101.281944444 48.971388888)
Cedar Point,22,Point(-96.8217 38.2608)
Maloy,22,Point(-94.413055555 40.675)
Knox,22,Point(-99.6925 48.341944444)
Durango,22,Point(-90.775833333 42.56)
Edge Hill,22,Point(-82.6267 33.1531)
Calio,22,Point(-98.935 48.63)
